Period;Time_sec;Home_0_Metabolic_power;Home_1_Metabolic_power;Home_2_Metabolic_power;Home_3_Metabolic_power;Home_4_Metabolic_power;Home_5_Metabolic_power;Home_6_Metabolic_power;Home_7_Metabolic_power;Home_8_Metabolic_power;Home_9_Metabolic_power;Home_10_Metabolic_power;Home_11_Metabolic_power;Home_12_Metabolic_power;Home_13_Metabolic_power;Home_14_Metabolic_power;Home_15_Metabolic_power;Home_16_Metabolic_power;time;official_clock
2.0;4701.0;17421.488738227843;54956.417560636444;50120.00790416216;60242.7498568374;55498.83147870287;50249.075563234066;35198.77612754655;31407.435256921897;48611.40717869216;46293.63906887715;53612.906829092484;;;;;;;79;79
2.0;4702.0;17494.691299189155;54913.58579166842;49879.81954081692;60070.80609896663;55410.57557989769;50029.3637173047;34666.40109038302;30765.206428284073;48399.46632207776;45998.10548738228;53203.53958363735;;;;;;;79;79
2.0;4703.0;17482.250930985523;54322.49913379222;49600.70984898412;59793.02461446635;55342.398973202995;49857.78679963311;34052.543605418374;29906.52806012752;48236.44663963074;45679.45913384246;52824.75516443968;;;;;;;79;79
2.0;4704.0;17390.284269775006;53903.63666399674;49370.694051291524;59402.98758993305;55264.4746576171;49654.4793678861;33883.165431342444;29470.338551052435;48110.3779616739;45415.45438898785;52584.09786784281;;;;;;;79;79
2.0;4705.0;17291.257400410024;53585.00869078229;48921.1481886809;58937.69762672731;55063.58535058252;49420.49849873218;33646.406359248074;29225.90010933791;47993.04060865008;45129.435957418355;52369.203951338364;;;;;;;79;79
2.0;4706.0;16950.19794649647;52609.7761634818;48442.7495912193;58645.065650896926;54696.188199477445;49110.8437699655;33132.69359220923;28813.17609844756;47897.28070769661;44765.342751793;52085.93255856286;;;;;;;79;79
2.0;4707.0;16437.29583225772;51886.2746713668;48014.42721244054;58353.19939990537;54316.32611809485;48899.497445666806;32606.832552060157;28458.238102982268;47749.10254492743;44251.72433039698;51782.72553259809;;;;;;;79;79
2.0;4708.0;16109.544599014092;51481.49962581986;47870.67293560458;58158.64490509335;54058.65404204994;48679.34998292691;32331.904022809485;28166.791194917496;47612.24481106443;43895.51981857202;51429.33841143515;;;;;;;79;79
2.0;4709.0;15922.870826393493;51212.54794340944;47719.87936171596;58035.88203519456;53886.20179354324;48241.29284463367;32128.307746929288;28001.238352770346;47437.35919306872;43639.18676662955;51156.921757669144;;;;;;;79;79
2.0;4710.0;15792.19363328806;50896.3860057772;47596.67510427954;57947.1648380044;53786.806031830034;47914.49431809693;31998.30806839262;27914.054422093017;47281.09999935266;43451.18561884053;50886.54222222987;;;;;;;79;79
2.0;4711.0;15749.038015996057;50515.91519788911;47037.081641903635;57681.44766595557;53662.92987255529;47704.87883856344;31873.38848167318;27858.414268089342;47177.453571659076;43343.66834681382;50427.79645903794;;;;;;;79;79
2.0;4712.0;15686.85288708322;50164.21312560719;46644.57970585287;57393.482020846895;53465.017249169;47603.171082122746;31664.56165389319;27768.68798967584;47163.51108554623;43230.62777704103;49919.01189268516;;;;;;;79;79
2.0;4713.0;15611.819753130616;49995.47610149234;46397.62035438577;57107.31182017931;53286.856294135374;47498.212227270335;31545.554774559587;27632.244821255106;47350.745983836576;42916.3969231497;50269.37515372333;;;;;;;79;79
2.0;4714.0;15522.727997816259;49537.82815951246;46285.84646307948;56837.40351890569;53152.568771338316;47419.62029087629;31465.501322104516;27506.60927707681;47434.69700547874;42793.75080844423;50359.13742787564;;;;;;;79;79
2.0;4715.0;15416.133053654532;49110.10492060596;46416.720477047056;56616.810890800465;53035.722556038;47293.242427528014;31445.19114960858;27379.494701808995;46911.6149587407;42950.44180452534;50202.80758299566;;;;;;;79;79
2.0;4716.0;15353.953614187978;48863.61548724018;46392.984247882596;56565.22072453974;52942.67711009694;47085.5363705562;31401.150182382415;27271.158191967923;46892.1119610337;43138.56422952023;50200.92804648806;;;;;;;79;79
2.0;4717.0;15334.49406758188;48688.993452934155;46447.40066965364;56640.889596347006;52922.72339230557;46977.02243123753;31724.162553230195;27139.12906117874;46877.025956020225;43376.53663598001;50289.55932026779;;;;;;;79;79
2.0;4718.0;15328.529376472388;48568.49790966496;46881.73684607178;56637.63552563317;52591.79531580766;46962.65156153612;32188.29131123546;27267.479163537097;46455.721892869304;43715.30056190569;50238.731989940454;;;;;;;79;79
2.0;4719.0;15343.311381295329;48595.7087763749;47201.641722228655;56912.97207200388;52327.403026565764;47549.17911705166;32622.63407286044;27671.567574906516;45991.66842609138;43922.8555991886;50052.903882179904;;;;;;;79;79
2.0;4720.0;15489.652192011436;48714.04507213299;48080.41720368538;57532.50716359514;52280.11146400467;48404.13813555586;32964.89574759002;28022.646432139467;45325.34692415722;44506.393395358304;49983.31969076918;;;;;;;79;79
2.0;4721.0;15772.206069874492;48916.13621848133;48742.38017893466;57988.43095290836;52019.39028032454;49193.16814411637;33501.0126621327;28525.950398952536;45302.27974873594;45343.76757257215;50230.39285707368;;;;;;;79;79
2.0;4722.0;16254.12704003649;49975.248144820755;49263.61253334512;58394.001638327914;52156.73096299462;49706.128386073506;34253.147257944715;29255.467295677663;45396.14704510852;46177.51000113633;50614.79784718293;;;;;;;79;79
2.0;4723.0;16984.261854063625;50909.600207369665;49760.597642048466;58665.79066509921;52413.994375436036;50105.344916058006;35102.53904089786;30010.727602776587;45504.29841088508;46615.53138413022;50998.25339775054;;;;;;;79;79
2.0;4724.0;17808.31782972082;51721.29412318783;49969.95647170314;58941.54879923558;52594.12610710031;50470.100435989705;35768.45453029385;30543.88913981013;45519.202102183466;46785.605407709256;51208.37619912895;;;;;;;79;79
2.0;4725.0;18183.899738968063;51976.474373033525;50141.032944847764;59072.595436753014;52730.39896263252;50828.703763214406;36026.07979765031;30793.085238792566;45510.78381747347;46875.38650246025;51435.009628288026;;;;;;;79;79
2.0;4726.0;18441.453832398427;52070.45573846476;50262.32164684157;59191.20084874325;52837.83921842725;51389.08426245382;36188.31125985283;31007.81763005446;45473.97091458141;46918.969839976;51704.92689958089;;;;;;;79;79
2.0;4727.0;18807.00220571651;52181.62799152892;50322.352030994814;59376.60664324774;53012.66296567674;51666.766399439104;36208.80598848327;31215.25358679625;45490.78777321175;46910.56292632525;52057.77773790643;;;;;;;79;79
2.0;4728.0;19042.864949826133;52325.40643145584;50374.76589214892;59566.5350077321;53216.664595821014;51837.05247144382;36304.358524062176;31410.156386042465;45502.42202749001;46947.12939514681;52362.591228427074;;;;;;;79;79
2.0;4729.0;19277.4611519338;52575.206771078345;50397.2144308849;59737.714520065085;53343.81845064794;51950.80380586964;36423.09911033599;31563.27819392261;45524.214177039365;47018.017825529685;52573.00192025132;;;;;;;79;79
2.0;4730.0;19474.71133043878;52786.716292461104;50427.73462114132;59784.9817435674;53440.051137049006;52039.77092386679;36557.56077664864;31686.082815356;45596.17660258226;47100.13056572064;52754.567589741404;;;;;;;79;79
2.0;4731.0;19638.53741625495;53037.38289371173;50640.00364171081;59886.41916677015;53507.81285063601;52142.195872537966;36625.577875350114;31829.297264730492;45700.81094457787;47163.986038685034;52930.0706631541;;;;;;;79;79
2.0;4732.0;19736.657902341107;53524.90581526221;50938.72118736359;60074.87966212464;53582.07798876192;52467.35670883348;36709.05591436418;31983.734919177266;45833.90697843222;47216.73630264853;53053.902797873525;;;;;;;79;79
2.0;4733.0;19839.241935748083;54014.046213005975;51134.36558926222;60132.78748905905;53679.20046464922;52921.75592944775;36774.86991899989;32160.398107630288;45945.957491278816;47241.13972808446;53118.97757567396;;;;;;;79;79
2.0;4734.0;19954.23153343723;54212.77379443587;51377.026355959606;60235.417103410146;53742.747246362356;53067.85028496607;36855.685927636645;32228.259271534986;46039.31427841261;47246.90156251677;53130.37684968245;;;;;;;79;79
2.0;4735.0;20018.954621374305;54554.182573360784;51658.90963896584;60679.915723383325;53840.16731153471;53171.49987048513;36916.88323054723;32428.157503659106;46096.156550464424;47336.21150296008;53223.471725892814;;;;;;;79;79
